A: 1939792 bytes in 612 chunks | B: 1942460 bytes in 630 chunks
A bytes present in B: 1232143 (63.52%)
B bytes present in A: 1232143 (63.43%)

B chunks NOT found in A (genuinely new/changed content):
  offset 0x01BC60B-0x01BC7AF     420 bytes
  offset 0x01BC7AF-0x01BC8D2     291 bytes
  offset 0x01BC8D2-0x01BDC2A    4952 bytes
  offset 0x01BDC2A-0x01BE8CF    3237 bytes
  offset 0x01BE8CF-0x01BF591    3266 bytes
  offset 0x01BF591-0x01BFBC7    1590 bytes
  offset 0x01BFCD4-0x01C0808    2868 bytes
  offset 0x01C0808-0x01C1150    2376 bytes
  offset 0x01C1150-0x01C1921    2001 bytes
  offset 0x01C1921-0x01C1A31     272 bytes
  offset 0x01C1A31-0x01C1ECA    1177 bytes
  offset 0x01C1ECA-0x01C2D3B    3697 bytes
  offset 0x01C2D3B-0x01C2FCE     659 bytes
  offset 0x01C2FCE-0x01C77A7   18393 bytes
  offset 0x01C7961-0x01C7E35    1236 bytes
  offset 0x01C7E35-0x01CA3DF    9642 bytes
  offset 0x01CA3DF-0x01CAA43    1636 bytes
  offset 0x01CAA43-0x01CD611   11214 bytes
  offset 0x01CD611-0x01CEABD    5292 bytes
  offset 0x01CEABD-0x01CED8F     722 bytes
  offset 0x01CED8F-0x01CF24B    1212 bytes
  offset 0x01CF24B-0x01CF98D    1858 bytes
  offset 0x01CF98D-0x01D145E    6865 bytes
  offset 0x01D145E-0x01D2959    5371 bytes
  offset 0x01D2959-0x01D5DD3   13434 bytes
  offset 0x01DA10A-0x01DA3BC     690 bytes
  --> total changed/new in B: 710317 bytes (36.57%)
